iter	MultiClass
0	1.559662087
1	1.339052753
2	1.166329537
3	1.037231415
4	0.9415878606
5	0.8587375617
6	0.7927477461
7	0.7239950181
8	0.6735398843
9	0.6319997916
10	0.5906042625
11	0.5434846472
12	0.5135752284
13	0.4846946354
14	0.4525450434
15	0.4211514657
16	0.3942248987
17	0.3699791296
18	0.3470031167
19	0.3267356096
20	0.308795848
21	0.2917823619
22	0.280623659
23	0.2678424231
24	0.2577659147
25	0.251411631
26	0.2394880546
27	0.2313287368
28	0.2214716297
29	0.2112327928
30	0.2038731146
31	0.1956715188
32	0.1896878154
33	0.1828753147
34	0.1786464161
35	0.1721789954
36	0.1664971537
37	0.1613806765
38	0.1548190615
39	0.1490797575
40	0.1448874989
41	0.1417570598
42	0.1367120309
43	0.1337927938
44	0.1289002685
45	0.1260156027
46	0.1233316088
47	0.1216627168
48	0.1180931402
49	0.1151306612
50	0.1132002428
51	0.1097876689
52	0.1076957626
53	0.1043024402
54	0.1019786159
55	0.1003736174
56	0.09762448215
57	0.09585785983
58	0.09355910846
59	0.09140043747
60	0.09010717233
61	0.08751574225
62	0.08644928922
63	0.08514760152
64	0.08381684222
65	0.08222907036
66	0.08047497886
67	0.07954613111
68	0.07857151003
69	0.07704236372
70	0.07633803834
71	0.07561713329
72	0.07443361441
73	0.07345310346
74	0.072534456
75	0.07185757925
76	0.07075699008
77	0.06994659494
78	0.06860065961
79	0.06762213034
80	0.06679599479
81	0.06565506827
82	0.06498275266
83	0.06440565941
84	0.06392185756
85	0.06304754241
86	0.06218855654
87	0.06119400205
88	0.06029667655
89	0.05992100613
90	0.05937081606
91	0.05905862018
92	0.05825424303
93	0.05802475051
94	0.05755908295
95	0.05674777108
96	0.05608142075
97	0.05522840503
98	0.05460230003
99	0.05383702076
100	0.05339551677
101	0.05298396167
102	0.05255152798
103	0.051402981
104	0.05109023048
105	0.05073717354
106	0.05019510005
107	0.04982739549
108	0.0493909409
109	0.04903856363
110	0.04831158068
111	0.0480479808
112	0.04758515898
113	0.04744077113
114	0.04698379062
115	0.04649137688
116	0.04619090923
117	0.04551234552
118	0.04530651201
119	0.04469424917
120	0.04440989963
121	0.043762395
122	0.04349568047
123	0.04289840467
124	0.04253067511
125	0.04211999699
126	0.041510314
127	0.04130265169
128	0.04106972468
129	0.04097563824
130	0.04068029308
131	0.04012041439
132	0.03950044736
133	0.03919717567
134	0.03883592999
135	0.03839450477
136	0.03815338484
137	0.0379841879
138	0.03770604584
139	0.03742780747
140	0.0371727687
141	0.03684164879
142	0.03630621931
143	0.0360354025
144	0.03576815978
145	0.03565016234
146	0.03531745292
147	0.03513962999
148	0.03487136822
149	0.03474625558
150	0.03454951689
151	0.03440675409
152	0.03412766305
153	0.03402440342
154	0.03384748058
155	0.03368475633
156	0.03347497266
157	0.03336778654
158	0.03312610776
159	0.03296413566
160	0.03279386423
161	0.03273651266
162	0.03260192997
163	0.03241783483
164	0.03207409462
165	0.03172412926
166	0.03151689197
167	0.03129081281
168	0.03113912012
169	0.03100354181
170	0.03088866879
171	0.03074668552
172	0.03062779989
173	0.03032291508
174	0.03019351682
175	0.03012450504
176	0.02995296762
177	0.02989573831
178	0.02979799743
179	0.02967951273
180	0.02954247073
181	0.02945210309
182	0.02933833806
183	0.02923686826
184	0.02912175929
185	0.02910678493
186	0.02892240854
187	0.02877858436
188	0.02865426969
189	0.02839773104
190	0.02832187258
191	0.02815904838
192	0.02807012486
193	0.02781126615
194	0.02765909533
195	0.02759170498
196	0.02748492908
197	0.02747019179
198	0.02727565961
199	0.02718601371
200	0.02692734347
201	0.02664809231
202	0.02654979883
203	0.02638003602
204	0.02629427601
205	0.026188605
206	0.02596793917
207	0.02579061078
208	0.02574856785
209	0.0255558122
210	0.02542952731
211	0.02540134486
212	0.02532053223
213	0.02530448962
214	0.02520886336
215	0.0251132168
216	0.02497270871
217	0.02485420047
218	0.02482847185
219	0.02465044018
220	0.02449361986
221	0.02438635995
222	0.02437852833
223	0.02432930958
224	0.02422545507
225	0.02412747512
226	0.0240479283
227	0.02391821303
228	0.02386165899
229	0.02384993814
230	0.02383093582
231	0.02371600576
232	0.02357182196
233	0.02346132537
234	0.02336892229
235	0.02335274185
236	0.02331038337
237	0.0232199339
238	0.02312116514
239	0.02309125074
240	0.02304033631
241	0.02303074072
242	0.0229459949
243	0.0228663074
244	0.02271895196
245	0.0226228875
246	0.02249944711
247	0.0223781241
248	0.0223164921
249	0.02218325309
250	0.02212313348
251	0.02210466981
252	0.02200631933
253	0.02195276361
254	0.02189940618
255	0.02189021835
256	0.02178819036
257	0.021706957
258	0.0216965291
259	0.02161415932
260	0.02151965589
261	0.02145062248
262	0.02136367334
263	0.02134140373
264	0.02132065369
265	0.02128633172
266	0.02122738683
267	0.02117297287
268	0.0210299295
269	0.02097419141
270	0.02091158139
271	0.02085640205
272	0.02079269728
273	0.02076450899
274	0.02067913303
275	0.0206530232
276	0.02059356491
277	0.0205577506
278	0.02052134909
279	0.02040211591
280	0.02037073644
281	0.02026840404
282	0.02019551023
283	0.0201141821
284	0.02007432411
285	0.02002588785
286	0.01994693867
287	0.01984688805
288	0.01977521
289	0.01971140046
290	0.01967008948
291	0.01964713487
292	0.01952580298
293	0.01942708072
294	0.01938911033
295	0.01928387271
296	0.01925558244
297	0.01921825169
298	0.01919605783
299	0.01913923918
300	0.01911914089
301	0.01902370671
302	0.01897386905
303	0.01890707564
304	0.01882344902
305	0.01878536086
306	0.01874499439
307	0.01870847306
308	0.01866372187
309	0.01857144299
310	0.01855337369
311	0.01848914759
312	0.01840763456
313	0.01834224686
314	0.01828410114
315	0.01819495262
316	0.01811775175
317	0.01809832066
318	0.01808179898
319	0.01803928163
320	0.01798520957
321	0.01793108658
322	0.01789191203
323	0.01785464664
324	0.01784066665
325	0.01777809711
326	0.01775821117
327	0.01772023484
328	0.01765701462
329	0.01763482677
330	0.01759571164
331	0.01756805805
332	0.01748318293
333	0.0174343455
334	0.01736877183
335	0.01734863621
336	0.01733128662
337	0.01730635144
338	0.01725872432
339	0.01723407228
340	0.01721332997
341	0.01708811255
342	0.01704178108
343	0.01701097934
344	0.01698118929
345	0.01695965501
346	0.01691378777
347	0.01689476814
348	0.01687204726
349	0.01682957496
350	0.01681596687
351	0.01674456282
352	0.01670251331
353	0.01665960745
354	0.01660899878
355	0.01656817105
356	0.01653332354
357	0.01645209154
358	0.01640117818
359	0.0163845145
360	0.01634681328
361	0.01630105222
362	0.01625547199
363	0.01618890888
364	0.01612136695
365	0.01609233646
366	0.01603450998
367	0.01599758678
368	0.01597620989
369	0.0159510705
370	0.01591496381
371	0.01588033364
372	0.01581928168
373	0.01575912494
374	0.01572681769
375	0.01570834275
376	0.01566531182
377	0.01565269881
378	0.01560396588
379	0.01554669715
380	0.01551552088
381	0.01548787367
382	0.01546683236
383	0.01543835328
384	0.01543468218
385	0.0154020525
386	0.01538481133
387	0.01536079813
388	0.01532130793
389	0.01529262953
390	0.0152340064
391	0.01517094855
392	0.01515833037
393	0.01509441767
394	0.01505434135
395	0.01497816483
396	0.01495924748
397	0.01494601751
398	0.0148929664
399	0.01485962495
400	0.01481647069
401	0.01479244721
402	0.01474076924
403	0.01472707211
404	0.0146838446
405	0.01466395835
406	0.01460933224
407	0.01459690935
408	0.01454621932
409	0.01452578337
410	0.01449245028
411	0.01446693615
412	0.01443957372
413	0.01442303577
414	0.01438896639
415	0.01437147713
416	0.01434127395
417	0.01431545748
418	0.01430288303
419	0.01425633893
420	0.01423653128
421	0.01421473722
422	0.01418150522
423	0.01414822504
424	0.01410890994
425	0.01408825229
426	0.01407565962
427	0.01404621236
428	0.01400482852
429	0.01396801515
430	0.01395995031
431	0.01393273692
432	0.01391931507
433	0.01387277711
434	0.01385163332
435	0.01380201676
436	0.01375876022
