iter	Passed	Remaining
399	39438	59157
400	39545	59071
401	39654	58988
402	39755	58893
403	39853	58793
404	39973	58725
405	40049	58594
406	40136	58479
407	40221	58360
408	40308	58245
409	40391	58124
410	40469	57997
411	40563	57892
412	40657	57787
413	40748	57677
414	40834	57561
415	40915	57438
416	41000	57321
417	41081	57199
418	41160	57074
419	41246	56959
420	41335	56848
421	41431	56748
422	41548	56674
423	41644	56573
424	41736	56466
425	41831	56364
426	41956	56301
427	42049	56197
428	42149	56101
429	42248	56003
430	42335	55890
431	42422	55778
432	42502	55655
433	42580	55531
434	42668	55420
435	42767	55323
436	42858	55215
437	42946	55105
438	43036	54996
439	43145	54912
440	43251	54824
441	43357	54736
442	43441	54620
443	43528	54508
444	43627	54411
445	43745	54338
446	43847	54245
447	43958	54162
448	44065	54075
449	44171	53987
450	44299	53926
451	44434	53872
452	44542	53785
453	44648	53695
454	44752	53604
455	44848	53503
456	44970	53433
457	45105	53378
458	45273	53362
459	45387	53281
460	45504	53204
461	45617	53121
462	45700	53004
463	45797	52903
464	45882	52789
465	45974	52683
466	46077	52589
467	46311	52644
468	46403	52538
469	46518	52457
470	46638	52381
471	46746	52293
472	46869	52220
473	46994	52150
474	47084	52041
475	47171	51927
476	47260	51818
477	47363	51723
478	47445	51605
479	47546	51508
480	47644	51408
481	47749	51315
482	47847	51215
483	47952	51122
484	48036	51007
485	48153	50928
486	48244	50820
487	48342	50719
488	48445	50624
489	48568	50550
490	48676	50460
491	48756	50342
492	48839	50226
493	48940	50129
494	49040	50030
495	49133	49925
496	49214	49808
497	49306	49702
498	49408	49606
499	49520	49520
500	49605	49407
501	49693	49298
502	49808	49214
503	49926	49133
504	50012	49021
505	50116	48927
506	50210	48824
507	50307	48722
508	50402	48619
509	50540	48558
510	50647	48466
511	50751	48372
512	50855	48277
513	50958	48182
514	51065	48091
